section_raw,subsection_raw,section_rawx
ADJUST,,adjust
AREA DATA,,area
BRANCH DATA,,acline
BUS DATA,,bus
FACTS DEVICE DATA,,facts
FIXED SHUNT DATA,,fixshunt
GAUSS,,gauss
GENERAL,,general
GENERATOR DATA,,generator
GNE DATA,,gne
IMPEDANCE CORRECTION DATA,,impcor
INDUCTION MACHINE DATA,,indmach
INTER-AREA TRANSFER DATA,,iatransfer
LOAD DATA,,load
MULTI-SECTION LINE DATA,,msline
MULTI-TERMINAL DC DATA,,ntermdc
MULTI-TERMINAL DC DATA,,ntermdcconv
MULTI-TERMINAL DC DATA,,ntermdcbus
MULTI-TERMINAL DC DATA,,ntermdclink
NEWTON,,newton
OWNER DATA,,owner
RATING,,rating
SOLVER,,solver
SUBSTATION DATA,SUBSTATION DATA BLOCK,sub
SUBSTATION DATA,SUBSTATION NODE DATA,subnode
SUBSTATION SWITCHING DEVICE DATA,,subswd
SUBSTATION TERMINAL DATA,,
SWITCHED SHUNT DATA,,swshunt
SYSTEM SWITCHING DEVICE DATA,,sysswd
TRANSFORMER DATA,,transformer
TWO-TERMINAL DC DATA,,twotermdc
TYSL,,tysl
VSC DC LINE DATA,,vscdc
ZONE DATA,,zone
,,caseid
,,ntermdcconv
,,ntermdcbus
,,ntermdclink
,,subnode
,,subswd
,,subterm
