dataformat_pdf_section,field_idx_raw_34,row_raw_34,section_raw_34,subsection_raw_34,field_raw_34,field_idx_raw_35,row_raw_35,section_raw_35,subsection_raw_35,field_raw_35,field_id_rawx,section_rawx,field_rawx,notes
1.5 Case Identification Data,1,1,N/A,N/A,IC,1,1,N/A,N/A,IC,1,caseid,ic,New case flag
1.5 Case Identification Data,2,1,N/A,N/A,SBASE,2,1,N/A,N/A,SBASE,2,caseid,sbase,System MVA base
1.5 Case Identification Data,3,1,N/A,N/A,REV,3,1,N/A,N/A,REV,3,caseid,rev,PSSE revision number
1.5 Case Identification Data,4,1,N/A,N/A,XFRRAT,4,1,N/A,N/A,XFRRAT,4,caseid,xfrrat,Units of transformer ratings
1.5 Case Identification Data,5,1,N/A,N/A,NXFRAT,5,1,N/A,N/A,NXFRAT,5,caseid,nxfrat,Units of ratings of non-transformer branches
1.5 Case Identification Data,6,1,N/A,N/A,BASFRQ,6,1,N/A,N/A,BASFRQ,6,caseid,basfrq,System base frequency in Hertz
1.5 Case Identification Data,N/A,1,N/A,N/A,N/A,7,1,N/A,N/A,N/A,7,caseid,title1,First line of the case title
1.5 Case Identification Data,N/A,1,N/A,N/A,N/A,8,1,N/A,N/A,N/A,8,caseid,title2,Second line of the case title
1.6.1 General Record,2,1,GENERAL,GENERAL,THRSHZ,2,1,GENERAL,GENERAL,THRSHZ,1,general,thrshz,the zero impedance line threshold tolerance
1.6.1 General Record,3,1,GENERAL,GENERAL,PQBRAK,3,1,GENERAL,GENERAL,PQBRAK,2,general,pqbrak,the constant power load characteristic voltage breakpoint
1.6.1 General Record,4,1,GENERAL,GENERAL,BLOWUP,4,1,GENERAL,GENERAL,BLOWUP,3,general,blowup,the largest voltage change threshold
1.6.1 General Record,N/A,1,N/A,N/A,N/A,5,1,GENERAL,N/A,N/A,4,general,maxisollvls,the maximum levels to move outward from a element when attempting to isolate it by breaker/switch actions
1.6.1 General Record,N/A,1,N/A,N/A,N/A,6,1,GENERAL,N/A,N/A,5,general,camaxreptsln,the maximum number of times to try and solve a contingency/remedial action
1.6.1 General Record,N/A,1,N/A,N/A,N/A,7,1,GENERAL,N/A,N/A,6,general,chkdupcntlbl,check for duplicate contingency labels when create DFAX file and running contingency analysis
1.6.2 GAUSS Record,2,1,GAUSS,GAUSS,ITMX,2,1,GAUSS,GAUSS,ITMX,1,gauss,itmx,the maximum number of iterations
